bin_id,bin_type,volume_m3,tare_kg,owner,purchase_cost,active
5028,5 ft,,,Lirich,,t
5038,5 ft,,,Lirich,,t
5044,5 ft,,,Lirich,,t
5046,5 ft,,,Lirich,,t
5047,5 ft,,,Lirich,,t
5051,5 ft,,,Lirich,,t
5056,5 ft,,,Lirich,,t
5057,5 ft,,,Lirich,,t
5058,5 ft,,,Lirich,,t
5060,5 ft,,,Lirich,,t
5064,5 ft,,,Lirich,,t
5069,5 ft,,,Lirich,,t
5073,5 ft,,,Lirich,,t
5079,5 ft,,,Lirich,,t
5081,5 ft,,,Lirich,,t
5083,5 ft,,,Lirich,,t
5084,5 ft,,,Lirich,,t
5086,5 ft,,,Lirich,,t
5089,5 ft,,,Lirich,,t
5092,5 ft,,,Lirich,,t
5096,5 ft,,,Lirich,,t
5106,5 ft,,,Lirich,,t
5108,5 ft,,,Lirich,,t
5116,5 ft,,,Lirich,,t
5123,5 ft,,,Lirich,,t
5135,5 ft,,,Lirich,,t
5142,5 ft,,,Lirich,,t
5147,5 ft,,,Lirich,,t
5151,5 ft,,,Lirich,,t
5153,5 ft,,,Lirich,,t
5160,5 ft,,,Lirich,,t
5162,5 ft,,,Lirich,,t
5169,5 ft,,,Lirich,,t
5176,5 ft,,,Lirich,,t
5194,5 ft,,,Lirich,,t
5196,5 ft,,,Lirich,,t
5197,5 ft,,,Lirich,,t
5198,5 ft,,,Lirich,,t
5199,5 ft,,,Lirich,,t
5203,5 ft,,,Lirich,,t
5204,5 ft,,,Lirich,,t
5210,5 ft,,,Lirich,,t
5211,5 ft,,,Lirich,,t
5213,5 ft,,,Lirich,,t
5217,5 ft,,,Lirich,,t
5220,5 ft,,,Lirich,,t
5221,5 ft,,,Lirich,,t
5222,5 ft,,,Lirich,,t
5232,5 ft,,,Lirich,,t
5239,5 ft,,,Lirich,,t
5240,5 ft,,,Lirich,,t
5245,5 ft,,,Lirich,,t
5247,5 ft,,,Lirich,,t
7006,7 ft,,,Lirich,,t
7016,7 ft,,,Lirich,,t
7017,7 ft,,,Lirich,,t
7022,7 ft,,,Lirich,,t
8007,7 ft,,,Lirich,,t
