user_key,tab,can_view,can_edit
qris,master,t,t
qris,collections,t,t
qris,jobcard,t,t
qris,samples,t,t
qris,nea,t,t
qris,directory,t,t
qris,marine,t,t
sheryl,master,t,t
sheryl,collections,t,t
sheryl,jobcard,t,t
sheryl,nea,t,t
sheryl,samples,t,f
sheryl,directory,t,f
sheryl,marine,f,f
marcus,marine,t,t
marcus,directory,t,f
marcus,master,f,f
marcus,collections,f,f
marcus,jobcard,f,f
marcus,nea,f,f
marcus,samples,f,f
patrick,master,t,t
patrick,collections,t,t
patrick,samples,t,f
patrick,nea,t,t
patrick,directory,t,f
qris,salary_approve,t,t
sheryl,salary_approve,t,t
patrick,jobcard,f,f
zion,master,t,t
zion,collections,t,t
zion,jobcard,t,t
zion,nea,t,t
zion,samples,t,f
zion,directory,t,f
qris,vision,t,t
qris,reqs,t,f
qris,cards,t,f
michelle,fleet,t,t
qris,fleet,t,t
sheryl,fleet,t,t
patrick,fleet,t,t
zion,fleet,t,t
zion,collfix,t,t
yan,master,t,t
yan,collections,t,t
yan,jobcard,t,t
yan,salary_approve,t,t
michelle,master,t,t
michelle,collections,t,t
michelle,jobcard,t,t
michelle,samples,t,t
michelle,nea,t,t
michelle,directory,t,t
michelle,marine,t,t
michelle,salary_approve,t,t
michelle,vision,t,t
michelle,reqs,t,t
michelle,cards,t,t
michelle,collfix,t,t
michelle,cov,t,t
michelle,bins,t,t
michelle,recon,t,t
