client_id,name,payment_terms,sales_rep,xero_contact_id,active,created_at,contact_name,contact_phone,contact_email
ABS,Absolut Properties Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ACR,Acreation Group Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ADV,Advanced Substrate Technologies Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
AJK,AJK,,,,t,2026-07-24 15:15:51.944859+00,,,
ALL,Allalloy Dynaweld Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ALLI,Allied Container Services Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
APE,Apex Sealing Technologies Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ARC,Archibiz,,,,t,2026-07-24 15:15:51.944859+00,,,
ART,Artdecor Design Studio Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ASL,ASL Proworld Solution Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
AST,Astore Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
AVE,Aver Asia (S) Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
BAB,Babu,,,,t,2026-07-24 15:15:51.944859+00,,,
ENG,Eng Lee Logistics Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ENGI,Engie Services Singapore Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
ENGL,Eng Leng Contractors Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
EPO,Epont Building Services Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
EUR,Euro Pac Logistics Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
EVE,EverTeam Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
FAX,Faxolif Industries Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
GEO,Geoinnovations Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
GLO,Glory SIP Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
GSE,GS Engineering and Construction Corporation,,,,t,2026-07-24 15:15:51.944859+00,,,
GWC,GWC,,,,t,2026-07-24 15:15:51.944859+00,,,
GYM,Gymsportz,,,,t,2026-07-24 15:15:51.944859+00,,,
HAI,Haid Biotechnology Industry (Singapore) Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
