id,domain,key,route,value,unit,basis,source_ref,valid_from,uncertainty_pct
3,waste,general_waste,WtE,0.111461,tCO2e/t,"Incineration of other waste (SEFR), NEA-sourced, 2006 IPCC Guidelines, AR5, applied as the general mixed-waste disposal factor. NOTE this is SEFR OTHER waste, a residual catch-all, and it understates a mixed stream containing plastics or paper. DO NOT RENAME THIS KEY: the report Edge Function pins the disposal factor by exact match on domain=waste key=general_waste. When the key was renamed to other_waste on 5 Aug 2026 the lookup failed and the regex fallback selected the EMA grid factor 0.402, which pushed the PIL July figure from 2.2 to 7.9 tCO2e on the live client dashboard.","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
9,equipment,production_of_distribution_synthetic_mineral_ester_transform,,10409.254030,kgCO2e/unit,Production of Distribution Synthetic/Mineral Ester Transformers |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
10,equipment,production_of_1kg_of_insulations,,3.670000,kgCO2e/unit,"Production of 1kg of Insulations | Input is dependent on Mass of Insulation. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC) | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
11,equipment,production_of_uninterruptible_power_supplies_ups_without_ene,,9320.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) without Energy Storage System of Wattage > 10000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
12,equipment,production_of_1_travellator_with_10m_horizontal_run,,26924.600000,kgCO2e/unit,"Production of 1 Travellator with 10m Horizontal Run | Input is dependent on Horizontal Run. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
13,equipment,production_of_distribution_mineral_oil_transformers,,8838.000000,kgCO2e/unit,Production of Distribution Mineral Oil Transformers |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
14,equipment,production_of_water_cooled_chillers,,129.000000,kgCO2e/TR,Production of Water-Cooled Chillers |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2024-06-06,
15,equipment,production_of_split_unit_air_conditioning_system,,11.994500,kgCO2e/kW,Production of Split Unit Air-Conditioning System |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2024-06-06,
16,equipment,production_of_passenger_lifts,,10.100000,kgCO2e/t-km,Production of Passenger Lifts |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR4,2024-06-06,
17,equipment,production_of_power_distribution_mineral_oil_transformers,,189291.000000,kgCO2e/unit,Production of Power Distribution Mineral Oil Transformers |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
18,equipment,production_of_a_50kw_variable_refrigerant_flow_vrf_condenser,,5179.200000,kgCO2e/unit,"Production of a 50kW Variable Refrigerant Flow (VRF) Condenser Unit with R410A Refrigerant | Input is dependent on Capacity of VRF. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC) | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
19,equipment,production_of_switchgears,,4360.000000,kgCO2e/unit,Production of Switchgears |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
20,equipment,production_of_pumps,,37.965000,kgCO2e/kW,Production of Pumps |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
21,equipment,production_of_1m_3_of_recycled_aluminium_cable_truncking,,5.690000,kgCO2e/kg,"Production of 1m^3 of Recycled Aluminium Cable Truncking | Input is dependent on Material and Volume of Cable Routing Support used. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
