site_id,client_id,site_name,address,active,created_at,contact_name,contact_phone,contact_email
ABS_001,ABS,Absolut Properties Pte Ltd,"163 Marine Parade Road, Marine Meadows Condo",t,2026-07-24 15:15:51.944859+00,,,
ABS_002,ABS,Absolut Properties Pte Ltd,"173 Jalan Loyang Besar, Ocean Front Suites Condo",t,2026-07-24 15:15:51.944859+00,,,
AJK_001,AJK,AJK,24 Tuas Ave 8,t,2026-07-24 15:15:51.944859+00,,,
AVE_001,AVE,Aver Asia (S) Pte Ltd,14 Benoi Place,t,2026-07-24 15:15:51.944859+00,,,
BAB_001,BAB,Babu,80 Mandai Lake Road,t,2026-07-24 15:15:51.944859+00,,,
BAB_002,BAB,Babu,Blk 5 Haig Road #07-463,t,2026-07-24 15:15:51.944859+00,,,
BAB_003,BAB,Babu,900 Bedok North Road,t,2026-07-24 15:15:51.944859+00,,,
BAB_004,BAB,Babu,2 Stadium Walk,t,2026-07-24 15:15:51.944859+00,,,
BCW_001,BCW,B&C Waste,16 Gul Crescent,t,2026-07-24 15:15:51.944859+00,,,
BCW_002,BCW,B&C Waste,513 Kampong Bahru Road Keppel Distripark,t,2026-07-24 15:15:51.944859+00,,,
BCW_003,BCW,B&C Waste,"Upper Changi Road, Summer Garden Condo",t,2026-07-24 15:15:51.944859+00,,,
BCW_004,BCW,B&C Waste,2 Mandai Link,t,2026-07-24 15:15:51.944859+00,,,
BCW_005,BCW,B&C Waste,Peck Seah Street,t,2026-07-24 15:15:51.944859+00,,,
BCW_006,BCW,B&C Waste,7 Changi South Street 2,t,2026-07-24 15:15:51.944859+00,,,
BCW_007,BCW,B&C Waste,26 Loyang Drive,t,2026-07-24 15:15:51.944859+00,,,
BEE_001,BEE,Beejoo,5 Sungei Kadut Street 6,t,2026-07-24 15:15:51.944859+00,,,
BND_001,BND,BNDC (Fairprice),1 Buroh Lane L4,t,2026-07-24 15:15:51.944859+00,,,
BND_002,BND,BNDC (Fairprice),28 Tuas Ave 13,t,2026-07-24 15:15:51.944859+00,,,
BND_003,BND,BNDC (Fairprice),5 Joo Koon Circle,t,2026-07-24 15:15:51.944859+00,,,
BND_004,BND,BNDC (Fairprice),7 Sunview Road,t,2026-07-24 15:15:51.944859+00,,,
CAL_001,CAL,Calvary Carpentry Pte Ltd,54 Senoko Road,t,2026-07-24 15:15:51.944859+00,,,
CAR_001,CAR,Cargo International,"20 Gul Way, #05-04",t,2026-07-24 15:15:51.944859+00,,,
CAT_001,CAT,Caterpillar,14 Tractor Road,t,2026-07-24 15:15:51.944859+00,,,
CAT_002,CAT,Caterpillar,7 Tractor Road,t,2026-07-24 15:15:51.944859+00,,,
